score,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,time_used,year,month,day,hour,minute,second
(0.36751910795349063+0j),(0.36751910795349063+0j),(0.181+0j),0j,(0.1+0j),0j,(0.2+0j),(0.45+0j),(0.23+0j),(0.08+0j),(0.025+0j),(0.04+0j),(2.11+0j),(17.7+0j),(-3.23+0j),(8.28+0j),(2+0j),(203.41136860847473+0j),(2024+0j),(7+0j),(30+0j),(15+0j),(56+0j),(41+0j)
(0.3733738360313208+0j),(0.3733738360313208+0j),(0.18449585050160275+0j),0j,(0.10087268651104857+0j),0j,(0.19947039793421387+0j),(0.45181705879358053+0j),(0.22997835649512094+0j),(0.0789964857169506+0j),(0.02270016180507515+0j),(0.0375896103460511+0j),(2.1089375985799483+0j),(17.73345522926635+0j),(-3.2184713689599134+0j),(8.294656911317677+0j),(1.9875435927732983+0j),(193.65162658691406+0j),(2024+0j),(7+0j),(30+0j),(15+0j),(59+0j),(58+0j)
(0.07156528730745845+0j),(0.07156528730745845+0j),(0.19148755150480826+0j),0j,(0.10261805953314569+0j),0j,(0.19841119380264155+0j),(0.45545117638074156+0j),(0.22993506948536283+0j),(0.0769894571508518+0j),(0.01810048541522544+0j),(0.0327688310381533+0j),(2.1068127957398453+0j),(17.800365687799058+0j),(-3.1954141068797397+0j),(8.323970733953034+0j),(1.962630778319895+0j),(191.79500007629395+0j),(2024+0j),(7+0j),(30+0j),(16+0j),(3+0j),(12+0j)
(0.031759559289301395+0j),(0.031759559289301395+0j),(0.1879917010032055+0j),0j,(0.10174537302209713+0j),0j,(0.19894079586842772+0j),(0.45363411758716105+0j),(0.22995671299024187+0j),(0.0779929714339012+0j),(0.020400323610150296+0j),(0.0351792206921022+0j),(2.107875197159897+0j),(17.766910458532703+0j),(-3.2069427379198268+0j),(8.309313822635355+0j),(1.9750871855465966+0j),(194.80271768569946+0j),(2024+0j),(7+0j),(30+0j),(16+0j),(6+0j),(30+0j)
(0.3034791758357908+0j),(0.3034791758357908+0j),(0.18435387920387042+0j),(0.003452684469749326+0j),(0.1036752746612578+0j),(0.00184429775508497+0j),(0.1983826766472804+0j),(0.45221625095473345+0j),(0.2269240397376561+0j),(0.08006851949875533+0j),(0.020356225958191615+0j),(0.03834252367495935+0j),(2.109010692622533+0j),(17.742692471497246+0j),(-3.241104489417848+0j),(8.310194916672065+0j),(1.996992341788399+0j),(193.02210450172424+0j),(2024+0j),(7+0j),(30+0j),(16+0j),(9+0j),(46+0j)
(0.28859315223978244+0j),(0.28859315223978244+0j),(0.18463782179933508+0j),0j,(0.09807009836083934+0j),0j,(0.20055811922114733+0j),(0.4514178666324276+0j),(0.23303267325258578+0j),(0.07792445193514587+0j),(0.025044097651958683+0j),(0.03683669701714285+0j),(2.1088645045373635+0j),(17.724217987035455+0j),(-3.1958382485019787+0j),(8.279118905963289+0j),(1.9780948437581976+0j),(187.31830501556396+0j),(2024+0j),(7+0j),(30+0j),(16+0j),(12+0j),(56+0j)
(0.2709563583185792+0j),(0.2709563583185792+0j),(0.17966573128669722+0j),0j,(0.09996260145086668+0j),0j,(0.20267952782808926+0j),(0.45121279555681015+0j),(0.2297797625358366+0j),(0.08058407567037214+0j),(0.021406056283777022+0j),(0.03636980534741771+0j),(2.1094625448555355+0j),(17.72729865810409+0j),(-3.188338035771894+0j),(8.261620523210482+0j),(1.9853486894858194+0j),(191.65124344825745+0j),(2024+0j),(7+0j),(30+0j),(16+0j),(16+0j),(11+0j)
(0.003592821828242999+0j),(0.003592821828242999+0j),(0.18932596971650828+0j),(0.0008811717019030428+0j),(0.10178277157123046+0j),(0.00012029028657606862+0j),(0.19626126804033847+0j),(0.4524213220303509+0j),(0.23017695045440528+0j),(0.07740889576352906+0j),(0.023994267326373275+0j),(0.03880941534468449+0j),(2.108412652304361+0j),(17.739611800428612+0j),(-3.248604702147933+0j),(8.327693299424872+0j),(1.9897384960607771+0j),(192.45754957199097+0j),(2024+0j),(7+0j),(30+0j),(16+0j),(19+0j),(26+0j)
(0.32599104692794373+0j),(0.32599104692794373+0j),(0.1857793169593529+0j),0j,(0.10176303114814361+0j),0j,(0.201910754966219+0j),(0.4519147267889582+0j),(0.22974685483683374+0j),(0.07810122447992032+0j),(0.022079037892227333+0j),(0.038194827797653264+0j),(2.110588043896174+0j),(17.680541135877032+0j),(-3.2154781707613824+0j),(8.30875754530571+0j),(1.9507802307054234+0j),(189.77389526367188+0j),(2024+0j),(7+0j),(30+0j),(16+0j),(22+0j),(39+0j)
(0.33688029664284286+0j),(0.33688029664284286+0j),(0.1832123840438526+0j),(0.0010242575363286323+0j),(0.09998234187395352+0j),(3.698521189923346e-05+0j),(0.19703004090220874+0j),(0.45171939079820284+0j),(0.23020985815340814+0j),(0.07989174695398088+0j),(0.023321285717922965+0j),(0.036984392894448936+0j),(2.1072871532637225+0j),(17.78636932265567+0j),(-3.2214645671584443+0j),(8.280556277329644+0j),(2.0243069548411734+0j),(192.6835436820984+0j),(2024+0j),(7+0j),(30+0j),(16+0j),(25+0j),(54+0j)
(0.07131648576804042+0j),(0.07131648576804042+0j),(0.1849215226875989+0j),(0.002592027699110558+0j),(0.09964157157329988+0j),(0.003974072113759901+0j),(0.1984176306494581+0j),(0.4556609735873229+0j),(0.23058176938194302+0j),(0.07946888006315744+0j),(0.022645101916804373+0j),(0.036917857760403544+0j),(2.1080094066954036+0j),(17.720236383781724+0j),(-3.209613118435793+0j),(8.29497863539384+0j),(1.959720057212723+0j),(191.42150211334229+0j),(2024+0j),(7+0j),(30+0j),(16+0j),(29+0j),(9+0j)
(0.31713155312473673+0j),(0.31713155312473673+0j),(0.1840701783156066+0j),0j,(0.10210380144879726+0j),0j,(0.20052316521896962+0j),(0.4479731439998382+0j),(0.22937494360829885+0j),(0.07852409137074376+0j),(0.022755221693345925+0j),(0.038261362931698656+0j),(2.109865790464493+0j),(17.746674074750977+0j),(-3.2273296194840335+0j),(8.294335187241515+0j),(2.0153671283338737+0j),(190.55033659934998+0j),(2024+0j),(7+0j),(30+0j),(16+0j),(32+0j),(22+0j)
(0.36383194683519515+0j),(0.36383194683519515+0j),(0.18399424301789571+0j),(0.0020214738816311043+0j),(0.10229448628658372+0j),0j,(0.20085575079109785+0j),(0.4518936028306463+0j),(0.23107388141462193+0j),(0.07828128180316658+0j),(0.021920903400272675+0j),(0.037835178156041434+0j),(2.10795422251578+0j),(17.7249141032401+0j),(-3.2184175436998452+0j),(8.294789114088626+0j),(2.008861364359731+0j),(188.1408815383911+0j),(2024+0j),(7+0j),(30+0j),(16+0j),(35+0j),(33+0j)
